,State,Total Population,Confirmed,SURVEY_NUM,AgeGroup_18-24,AgeGroup_25-34,AgeGroup_35-44,AgeGroup_45-54,AgeGroup_55-64,AgeGroup_65-74,AgeGroup_75+,AgeGroup_Removed for disclosure risk,HHSize_Five persons,HHSize_Four persons,HHSize_One person,HHSize_REFUSED,HHSize_SKIPPED ON WEB,HHSize_Six or more persons,HHSize_Three persons,HHSize_Two persons,Density_Rural,Density_Suburban,Density_Urban,Worn Face Mask,Avoided Restaurants,Cancelled Recreational Activities,Avoided Crowded Places,Avoided High Risk,Sanitized Hands,Neighbour Alertness
20,Montana,983647.0,1249,3,0.12850273651128405,0.14642534550350192,0.177871719577821,0.09655508372918287,0.20860389882840474,0.15571743633190657,0.08632377951634243,0.0,0.04864779959649805,0.07638728890661477,0.33566836964630353,0.0,0.0,0.04981311279416342,0.10959979091245135,0.3798836381424124,0.26373302548482486,0.33397863544747086,0.4022883390661479,0.7769633092762648,0.6700176134019457,0.7219062779544749,0.763176573877043,0.5720036816610893,0.8797947627797668,0.14029308232568094
21,New York,19618453.0,397649,1,0.11385472476601306,0.1886550909588235,0.17336260142527235,0.15504557270021788,0.1617759425812636,0.1491098435590414,0.05819622400479302,0.0,0.034137724711328976,0.11508636316013073,0.32045769240435734,0.0,0.00273750130043573,0.06678055337124182,0.1814597069540305,0.27934045809389974,0.022511697555119826,0.16032282180087146,0.8171654806394341,0.9271350688546843,0.7555501006002185,0.7593264477764714,0.8457101579054471,0.717427840793029,0.969951342632462,0.30945747073921576
22,New York,19618453.0,397649,2,0.0754605211396896,0.22704929740310423,0.1641535568711751,0.13566336349356986,0.19036719825166296,0.134479232791796,0.07282683004855875,0.0,0.09886648871419072,0.0876519903452328,0.32215652756008856,0.0,0.0038345885385809315,0.03397104248403548,0.1287445854651885,0.3247747768922395,0.04070299277339246,0.10613384391396892,0.8531631633121943,0.9480939687019948,0.7822370238345898,0.7226361310521062,0.7937702132558752,0.6057382845186259,0.9559232778099768,0.2769211124960088
23,New York,19618453.0,397649,3,0.13062418625215189,0.17188563146911393,0.17372415182556966,0.14533018266607592,0.17112979238050635,0.14053289896683538,0.06677315644101266,0.0,0.06771081613113923,0.09681355629037972,0.3304327509,0.0,0.0,0.049235679895189864,0.18274138642759494,0.27306581035696204,0.04174482847924051,0.10911584997443037,0.8491393215475947,0.9802615978774687,0.759361034651392,0.6972811910977214,0.7950347985513921,0.6147189750582276,0.9269162119473424,0.21279646538354427
24,Oregon,4081943.0,10395,1,0.1183978362551643,0.16995792019084505,0.16694506858708918,0.1553950510230047,0.16622278164460094,0.1664013041821596,0.05668003811478874,0.0,0.0769738768922535,0.15084145231455395,0.24625954146291076,0.0,0.0027369895622065734,0.0431284640701878,0.12221739450070421,0.3578422811948357,0.06235232033474177,0.26270924795023465,0.6749384317126769,0.7126716705744137,0.7851125180922535,0.8529828263485916,0.8543904982053988,0.7026646689053995,0.9653718183934274,0.2094240634206573
25,Oregon,4081943.0,10395,2,0.11405325425247058,0.17430250219623528,0.17365478381011762,0.13910464425647054,0.17580347318941167,0.18297254837600002,0.04010879392047058,0.0,0.07114472637129411,0.11901815873599998,0.24487541604917637,0.0,0.005582858860705883,0.04701593335505882,0.14454444316635293,0.36781846346258823,0.08410830896658822,0.23958479700329405,0.6763068940312938,0.8441032187529409,0.7411306995597641,0.7939292354148234,0.7681158285054108,0.6576295244976467,0.9291971729809408,0.20942980030305874
26,Oregon,4081943.0,10395,3,0.06875652316081425,0.2195992332867684,0.18804917458778625,0.11387575548956742,0.18663797118066158,0.16389290094173023,0.05918844135267176,0.0,0.06311287482620864,0.1571695101381679,0.27559057865038167,0.0,0.001624728206870229,0.02736836002620865,0.14794354672264629,0.3271904014295165,0.09237208958473284,0.26984216839211206,0.637785742023155,0.8106978763918569,0.7558349797427476,0.7579190283699739,0.7959634495903303,0.5860668163315521,0.9475425964745545,0.1661859934165394
27,Texas,27879996.0,203389,1,0.11272172168274931,0.21549068964285711,0.20058254184851754,0.14230780357169812,0.1601069777964959,0.12688889627223723,0.04190136918274932,0.0,0.12766764788436655,0.0986352205574124,0.2153492713342318,0.0,0.0009726173458221025,0.09618416947843667,0.12453371100539086,0.33665736239164423,0.04122375467412399,0.18380489924312665,0.7749713460800534,0.7639888564611865,0.7753046193134774,0.6730393673369273,0.8325170972592991,0.5985894446083558,0.9232552661498649,0.19530352508247975
28,Texas,27879996.0,203389,2,0.14175361404775413,0.18645880917092203,0.18210593244940892,0.15403664558274233,0.16685473057848693,0.11860112107966901,0.050189147092434994,0.0,0.09141990933238771,0.18144815326548464,0.23440368246572116,0.0,0.0,0.07289495011891253,0.14771513720827426,0.27211816761063823,0.035364453924586293,0.16348755819101662,0.8011479878858153,0.9001693167052005,0.770598715595035,0.7042621141120565,0.7936942525990538,0.6352551848952718,0.9172637416756497,0.24941270013593383
29,Texas,27879996.0,203389,3,0.11702794522890994,0.21118446691824652,0.20070667735545017,0.1403707255319905,0.1619199206277251,0.12079703369881516,0.047993230638151654,0.0,0.08396956039976301,0.13227331365426534,0.22710945426824639,0.0,0.0,0.11301108847298579,0.1752839540919431,0.26835262911208535,0.05657264724573459,0.16407875240355452,0.7793486003499999,0.8962587256838863,0.7035481170457345,0.7140402433412322,0.7853635810571089,0.660811197843602,0.929054265826777,0.16666090119526064
